Enzyme NextGen-A,,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-B,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-C,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-D,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-E,,,,,,,,,,,,,,,,,,,
,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,
1539,,7.503,14.986,30.009,64.893,124.534,244.774,452.386,729.945,1005.922,3.751,7.497,14.983,30.008,64.994,124.523,244.629,451.27,729.25,1007.46,3.685,7.366,14.729,29.318,62.854,118.329,225.253,401.048,660.203,868.954,3.683,7.357,14.715,29.343,62.872,118.143,225.111,400.742,659.436,867.607,3.746,7.505,15.014,30.025,64.933,124.879,247.601,471.35,807.598,1174.347,,7.508,14.996,29.97,64.922,124.911,247.295,471.533,807.136,1175.718,,7.506,14.979,29.981,64.889,124.768,247.743,480.789,865.569,1345.617,,,,30.015,64.947,124.776,248.301,481.569,863.718,1345.599,,,,,64.974,125.131,249.857,490.776,899.06,1411.026,,,,30.016,65.083,125.021,249.716,491.193,898.496,1408.255
1540,,7.496,14.982,29.994,65.034,124.473,244.827,451.353,729.373,1007.305,3.755,7.497,15.019,30.005,64.924,124.729,244.833,451.584,730.224,1006.943,3.688,7.373,14.739,29.301,62.761,118.388,225.302,400.564,659.611,868.159,3.684,7.369,14.744,29.283,62.733,118.181,225.285,400.364,659.866,869.806,3.749,7.491,14.983,29.988,64.949,124.835,247.646,471.447,807.357,1175.075,,7.502,14.999,30.027,65.031,124.949,247.508,471.089,806.54,1173.681,,7.504,15.002,29.967,65.035,124.698,248.235,481.65,865.333,1344.187,,,,29.973,64.941,124.771,248.123,481.226,864.315,1344.676,,,,,64.916,124.979,249.721,491.332,898.186,1410.387,,,,30.004,64.998,125.012,249.714,491.917,899.013,1411.07
1541,,7.5,14.998,30.036,64.926,124.555,244.379,452.053,730.846,1008.178,3.752,7.509,15.006,30.012,64.998,124.611,244.742,451.518,729.345,1009.183,3.682,7.37,14.739,29.343,62.767,118.451,225.217,401.345,659.572,869.181,3.687,7.355,14.737,29.341,62.782,118.437,224.953,401.371,659.798,869.103,3.746,7.506,15.002,30.017,64.951,124.804,247.163,471.04,807.802,1176.815,,7.498,14.989,30.029,64.931,124.775,247.664,471.286,808.69,1176.765,,7.508,14.98,30.031,64.889,124.643,248.186,480.816,864.359,1346.791,,,,30.025,64.89,124.887,247.932,481.399,864.202,1344.345,,,,,65.005,125.06,249.734,491.82,898.024,1412.209,,,,29.992,65.024,125.038,249.51,491.439,899.036,1410.54
1542,,7.499,14.998,29.993,64.904,124.524,244.806,451.47,729.67,1008.213,3.755,7.492,15.017,30.033,65.025,124.591,244.5,451.498,731.261,1009.027,3.684,7.356,14.732,29.301,62.844,118.367,225.463,400.519,660.392,868.781,3.689,7.373,14.717,29.35,62.767,118.203,225.391,400.982,660.58,870.174,3.746,7.49,14.999,29.976,65.053,124.862,247.368,471.201,808.946,1176.607,,7.507,14.981,29.998,64.968,124.809,247.178,472.039,807.261,1174.469,,7.498,15.006,30.031,65.01,124.745,247.831,481.682,866.052,1346.429,,,,30.007,64.981,124.842,248.233,481.725,864.203,1344.68,,,,,65.054,124.943,249.622,491.371,900.162,1409.783,,,,30.021,64.964,124.917,249.846,491.172,898.978,1412.331
1543,,7.491,15.013,30.001,64.936,124.487,244.496,452.593,731.051,1007.634,3.749,7.493,14.981,30.008,64.946,124.624,244.784,452.065,729.685,1009.703,3.686,7.367,14.724,29.297,62.826,118.206,225.063,401.414,660.677,869.809,3.69,7.36,14.722,29.292,62.875,118.45,225.559,401.287,659.598,869.529,3.749,7.506,14.984,29.969,65.064,124.661,247.35,472.142,808.934,1174.932,,7.503,15,29.963,64.91,124.882,247.34,471.719,807.701,1174.965,,7.508,15.004,30.01,64.938,124.875,248.295,481.789,866.497,1347.605,,,,30.006,64.922,124.791,247.91,480.984,865.675,1346.004,,,,,65.055,124.882,249.4,491.066,899.344,1412.187,,,,30.025,65.001,125.104,249.677,490.927,900.123,1413.266
1544,,7.501,14.992,29.967,64.928,124.587,244.936,451.586,730.892,1008.444,3.745,7.506,14.994,29.966,64.932,124.747,244.816,451.718,730.885,1010.048,3.692,7.368,14.724,29.339,62.882,118.278,225.574,400.687,661.424,869.781,3.687,7.36,14.718,29.285,62.83,118.218,225.49,400.779,660.18,870.314,3.75,7.503,14.996,29.973,64.93,124.843,247.412,472.106,808.062,1176.39,,7.503,14.992,30.033,64.979,124.918,247.526,471.901,808.252,1177.202,,7.503,14.994,29.974,64.953,124.678,248.199,481.895,865.68,1346.553,,,,30.029,64.89,124.712,248.295,481.188,864.79,1347.857,,,,,64.941,124.938,249.513,491.447,898.22,1411.491,,,,29.997,65.078,125.149,249.436,491.713,899.286,1410.529
1545,,7.509,14.987,30.01,65.028,124.711,244.703,451.958,731.834,1010.631,3.747,7.508,14.982,30.014,65.035,124.54,244.694,452.323,731.147,1010.167,3.685,7.369,14.733,29.289,62.766,118.25,225.598,401.129,661.611,870.611,3.69,7.356,14.719,29.356,62.879,118.403,225.479,401.127,661.586,870.172,3.749,7.502,14.987,29.98,64.942,124.887,247.761,472.055,809.388,1176.24,,7.505,15.001,30.032,64.988,124.889,247.301,471.379,809.381,1176.086,,7.497,15.017,30.016,65.021,124.735,248.301,481.542,866.869,1347.535,,,,29.964,64.969,124.685,248.388,481.579,866.524,1349.012,,,,,64.951,124.86,249.842,491.857,900.234,1412.501,,,,30.028,65.029,124.972,249.738,491.724,899.272,1413.93
1546,,7.505,15.001,30.009,64.875,124.719,244.456,452.133,730.537,1008.971,3.746,7.491,15.005,29.985,64.885,124.747,244.714,452.453,730.596,1011.098,3.684,7.363,14.731,29.329,62.785,118.44,225.121,401.882,661.483,870.191,3.689,7.364,14.738,29.283,62.766,118.338,225.282,401.683,660.391,872.31,3.754,7.5,14.991,30.009,64.983,124.663,247.663,471.388,808.486,1176.97,,7.495,14.986,30.027,65.027,124.662,247.75,471.202,809.234,1179.247,,7.501,14.994,29.976,65.006,124.913,248.047,481.495,865.234,1349.213,,,,30.001,64.918,124.813,247.942,481.983,865.2,1348.292,,,,,64.936,124.956,249.688,491.182,898.473,1411.777,,,,30.001,64.925,125.006,249.523,491.06,899.23,1412.128
1547,,7.493,14.987,29.976,64.913,124.548,244.917,452.651,732.218,1010.02,,7.493,15.003,30.012,65.033,124.644,244.494,452.112,730.715,1009.931,3.688,7.365,14.748,29.35,62.82,118.375,225.37,401.492,661.616,871.194,3.687,7.366,14.73,29.333,62.814,118.419,225.553,401.199,662.234,871.515,3.752,7.498,15.005,29.963,65.011,124.757,247.548,471.554,809.833,1178.43,,7.508,15.016,29.993,65.026,124.935,247.733,472.434,808.427,1177.229,,7.507,15.011,30.023,64.898,124.642,248.09,481.308,866.461,1347.671,,,,30.026,64.943,124.854,247.967,481.752,867.253,1350.178,,,,,65.077,125.098,249.414,491.036,899.483,1411.947,,,,29.981,64.954,125.068,249.415,491.246,899.275,1412.55
1548,,7.507,14.988,30.036,64.976,124.617,244.922,452.703,731.756,1011.004,,7.503,14.988,29.996,64.909,124.668,244.916,452.338,732.333,1011.802,3.684,7.36,14.746,29.306,62.919,118.421,225.196,401.573,661.593,872.287,3.684,7.366,14.731,29.31,62.876,118.53,225.556,401.96,661.377,873.003,3.751,7.499,14.988,30.029,64.899,124.911,247.61,471.758,809.473,1179.747,,7.495,15.001,29.981,64.933,124.856,247.634,472.058,808.724,1179.036,,7.506,15.005,29.999,64.923,124.909,248.393,481.664,865.383,1347.891,,,,30.025,64.976,124.942,248.173,481.046,865.277,1348.233,,,,,64.997,124.861,249.618,491.69,901.003,1415.169,,,,30.03,65.007,125.121,249.97,491.501,900.331,1413.426
1549,,7.5,14.981,30.01,64.908,124.679,244.853,452.871,732.524,1011.036,,7.493,14.998,29.993,64.915,124.457,245.1,452.061,732.752,1010.737,3.693,7.375,14.717,29.303,62.883,118.319,225.708,401.213,662.103,872.225,3.691,7.365,14.743,29.359,62.794,118.425,225.58,401.608,661.953,873.092,3.746,7.506,14.988,30.009,65.008,124.888,247.237,472.565,810.282,1180.759,,7.491,14.981,29.973,64.946,124.864,247.693,471.758,809.27,1180.364,,7.504,14.995,30.013,64.991,124.751,247.903,481.167,866.603,1348.697,,,,30.023,64.983,124.912,247.954,481.368,865.952,1350.183,,,,,64.923,124.96,249.775,492.038,900.397,1415.636,,,,30.009,65.013,125.088,249.444,491.58,899.681,1414.165
1550,,7.502,14.997,30.035,65.037,124.497,244.964,452.585,732.481,1013.17,,7.496,14.983,30.016,64.997,124.516,244.591,452.305,732.335,1012.018,3.691,7.372,14.735,29.334,62.865,118.361,225.576,401.736,662.792,873.8,3.686,7.372,14.742,29.293,62.803,118.49,225.702,401.6,661.844,871.786,3.751,7.498,15,30.02,64.982,124.723,247.56,472.402,809.751,1178.865,,7.494,15.017,29.975,65.024,124.785,247.563,471.825,808.536,1179.649,,7.489,14.998,30.031,64.934,124.926,247.98,481.718,866.913,1348.591,,,,,65.023,124.754,247.833,480.981,867.382,1350.457,,,,,64.977,125.121,249.412,492.048,900.369,1414.833,,,,29.986,65.071,124.835,249.877,492.068,899.277,1415.568
1551,,7.499,15.017,30.021,64.963,124.702,244.711,452.437,733.262,1011.311,,7.499,14.993,29.975,65.022,124.661,245.107,452.706,733.309,1013.62,3.688,7.37,14.753,29.314,62.84,118.503,225.686,401.672,662.899,873.742,3.691,7.366,14.716,29.357,62.779,118.32,225.505,402.149,662.924,873.667,3.752,7.5,14.993,30.008,65.003,124.727,247.647,472.189,810.489,1181.556,,7.507,14.996,30.002,65.032,124.883,247.227,472.322,810.072,1180.954,,7.505,14.986,30.015,64.944,124.741,248.316,481.738,865.961,1348.617,,,,,64.897,124.892,248.142,481.804,866.4,1348.71,,,,,65.057,124.88,249.457,491.573,899.648,1417.028,,,,30.017,65.075,124.921,249.435,491.355,900.946,1414.576
1552,,7.509,15.007,30.011,64.907,124.736,244.846,452.453,732.383,1013.723,,7.502,15.016,30.031,65.02,124.478,245.032,453.076,733.11,1011.631,3.691,7.367,14.729,29.304,62.915,118.298,225.885,402.07,663.097,873.128,3.688,7.36,14.743,29.366,62.93,118.569,225.618,402.371,662.504,874.014,3.746,7.509,14.995,29.96,64.965,124.677,247.334,471.521,810.522,1181.496,,7.505,15.008,29.985,64.923,124.968,247.439,472.005,809.693,1181.52,,7.496,14.994,29.994,64.982,124.816,247.924,481.799,867.845,1350.984,,,,,64.97,124.674,248.231,482.021,866.008,1349.095,,,,,65.064,125.141,249.68,491.987,901.183,1414.874,,,,30.025,64.928,125.091,249.86,492.039,900.51,1416.997
1553,,7.507,14.985,30.009,64.989,124.707,244.842,452.41,732.66,1014.484,,7.492,15.006,30.022,64.92,124.594,244.923,452.578,733.041,1013.453,3.692,7.374,14.725,29.354,62.818,118.53,225.5,401.583,662.507,875.228,3.689,7.371,14.74,29.315,62.866,118.496,225.947,401.836,663.651,874.457,3.75,7.494,15.006,29.981,64.962,124.705,247.583,471.785,809.924,1180.529,,7.506,14.986,29.984,65.011,124.864,247.422,472.133,810.236,1182.209,,7.492,15.006,29.978,65.043,124.784,248.327,481.632,868.06,1352.581,,,,,65.013,124.744,248.226,481.881,868.164,1351.976,,,,,65.076,125.133,249.948,492.081,901.18,1417.732,,,,29.962,64.96,125.123,249.4,491.371,900.861,1416.613
1554,,7.498,15.002,29.964,64.877,124.511,244.844,452.432,732.453,1014.939,,7.494,15.007,30.024,65.035,124.549,244.839,453.041,732.393,1013.45,3.691,7.362,14.739,29.311,62.797,118.551,225.729,402.303,663.798,873.887,3.687,7.359,14.718,29.304,62.843,118.545,225.452,402.145,663.731,873.871,3.746,7.496,15.008,30.008,65.01,124.882,247.275,472.039,810.975,1180.232,,7.502,14.986,29.966,65.046,124.709,247.836,471.887,810.019,1182.867,,7.5,14.991,29.999,64.894,124.813,248.118,481.818,868.004,1351.48,,,,,64.948,124.675,248.024,481.529,866.383,1350.124,,,,,64.998,124.974,249.74,491.102,901.78,1417.914,,,,30.031,65.037,124.938,249.671,491.291,900.976,1418.356
1555,,7.492,15.015,29.99,64.919,124.478,244.57,452.791,732.946,1013.686,,7.498,15.006,29.981,64.9,124.557,244.605,452.95,732.936,1014.643,3.689,7.362,14.718,29.31,62.856,118.39,225.778,401.955,664.029,875.259,3.692,7.362,14.728,29.34,62.954,118.437,225.941,402.709,663.863,874.69,3.751,7.492,14.981,29.988,64.902,124.957,247.35,472.372,810.215,1182.061,,7.508,15.005,29.996,64.966,124.852,247.371,472.23,810.797,1182.361,,7.5,15.006,30.018,64.909,124.713,247.96,482.344,868.107,1352.128,,,,,65.043,124.723,248.249,481.401,868.48,1353.148,,,,,65.042,124.884,249.431,491.936,900.767,1415.68,,,,29.993,64.943,124.868,249.85,491.391,901.773,1415.438
1556,,7.491,14.998,30.013,64.898,124.738,244.595,452.722,734.293,1014.947,,7.508,14.986,29.999,64.98,124.659,245.08,453.198,734.225,1013.583,3.69,7.368,14.735,29.335,62.806,118.609,226.055,402.365,664.246,875.021,3.692,7.374,14.755,29.315,62.956,118.507,225.726,402.779,662.818,876.273,3.753,7.494,14.98,30.004,64.95,124.805,247.601,472.015,811.314,1182.32,,7.491,15.014,30.008,65.03,124.865,247.287,471.786,811.091,1183.513,,7.5,15.007,30.005,64.929,124.72,248.065,482.382,867.954,1352.653,,,,,64.946,124.812,248.425,481.957,867.949,1353.991,,,,,65.037,124.932,249.532,491.425,900.604,1415.907,,,,29.998,64.944,125.015,249.538,491.628,901.818,1419.416
1557,,7.505,15.013,30.026,64.974,124.667,244.93,453.115,733.678,1013.955,,7.492,14.982,30.026,64.91,124.637,244.892,453.049,733.263,1015.522,3.688,7.368,14.724,29.374,62.809,118.517,225.892,402.248,664.581,875.195,3.685,7.372,14.731,29.329,62.884,118.396,225.907,402.201,663.604,875.028,3.748,7.509,15.004,30.026,64.98,124.699,247.85,472.6,811.485,1182.516,,7.498,14.993,29.999,64.902,124.694,247.761,472.471,811.703,1181.777,,7.504,15.001,30.012,64.97,124.964,248.306,482.37,867.672,1353.475,,,,,64.886,124.806,247.841,481.767,867.421,1353.447,,,,,65.055,125.057,249.712,491.367,900.383,1417.374,,,,29.999,65.03,125.149,249.677,491.222,901.521,1417.968
1558,,7.494,14.998,30.021,65.001,124.611,245.221,452.875,733.865,1016.371,,7.491,15.01,29.998,64.929,124.603,244.925,453.136,734.167,1016.11,3.69,7.379,14.754,29.371,62.932,118.49,226.074,402.659,663.26,876.908,3.687,7.371,14.736,29.32,62.943,118.672,225.682,403.035,664.696,877.128,3.75,7.505,14.995,29.993,64.937,124.844,247.822,472.866,811.511,1182.602,,7.493,15.007,30.006,65.064,124.792,247.464,472.014,811.793,1183.303,,7.499,15.007,30.022,65.003,124.776,248.166,481.702,868.198,1353.754,,,,,65.007,124.701,248.137,481.409,867.827,1355.358,,,,,65.016,124.913,249.997,491.438,901.954,1420.411,,,,30.008,65.004,124.884,249.43,491.842,900.788,1417.154
1559,,7.5,15.005,29.972,64.921,124.481,244.965,452.749,734.378,1016.777,,7.502,15.009,30.001,64.959,124.561,244.804,452.814,734.536,1015.808,3.688,7.378,14.747,29.353,62.952,118.484,225.66,402.698,663.862,876.184,3.692,7.361,14.758,29.369,62.952,118.399,225.999,402.336,663.525,875.592,3.749,7.506,15.015,30.029,64.93,124.824,247.808,472.535,811.195,1185.332,,7.498,14.993,29.969,64.932,124.775,247.749,472.899,810.362,1184.684,,7.495,15.017,29.999,64.953,124.879,248.019,481.53,868.627,1354.964,,,,,64.928,124.931,247.999,482.448,867.214,1353.243,,,,,64.917,124.98,249.67,491.957,902.537,1419.505,,,,29.975,65.063,124.91,249.878,492.034,901.744,1417.77
1560,,7.508,15.005,29.959,65.033,124.534,245.236,453.685,734.196,1017.012,,7.506,15.013,29.972,64.926,124.634,244.803,453.338,734.353,1016.522,3.689,7.372,14.738,29.352,62.872,118.591,226.151,402.448,664.519,876.324,3.691,7.367,14.746,29.309,62.848,118.688,225.935,402.506,664.187,877.284,3.747,7.492,15.018,29.972,64.953,124.974,247.882,472.224,811.176,1185.288,,7.492,15.009,29.978,64.938,124.79,247.73,472.661,812.615,1185.86,,7.505,14.999,30.01,64.913,124.721,247.94,482.199,869.291,1353.744,,,,,65.032,124.731,248.398,482.429,867.473,1353.162,,,,,65.035,125.088,249.67,491.559,902.773,1417.887,,,,29.962,65.071,125.115,249.759,491.178,902.6,1418.187
1561,,7.497,14.992,30.035,65.022,124.754,244.703,453.479,735.366,1015.994,,7.503,14.997,30.015,64.903,124.528,244.893,453.168,734.681,1017.341,3.686,7.363,14.732,29.349,62.903,118.56,225.905,402.519,665.076,876.935,3.689,7.375,14.739,29.349,62.976,118.58,226.066,402.673,664.782,878.382,3.746,7.508,15.008,30.028,65.042,124.756,247.326,472.408,811.946,1184.698,,7.492,14.992,29.965,64.92,124.718,247.818,472.459,812.266,1184.034,,7.507,14.982,30.01,64.899,124.813,248.078,481.715,868.132,1353.62,,,,,64.915,124.829,248.172,481.496,868.455,1354.428,,,,,65.045,124.845,249.445,492.083,901.644,1419.158,,,,30.014,65.037,125.147,249.47,491.769,901.457,1418.391
1562,,7.492,15.015,29.991,64.967,124.697,245.193,453.787,735.785,1016.263,,7.504,15.016,30.011,64.966,124.751,244.789,453.706,735.307,1016.889,3.692,7.365,14.737,29.368,62.873,118.64,226.128,402.525,664.078,876.86,3.692,7.366,14.753,29.378,62.945,118.549,226.269,403.165,665.495,878.676,3.747,7.496,14.994,29.995,64.915,124.858,247.29,472.385,812.963,1186.492,,7.494,14.995,30.005,65.047,124.676,247.886,472.551,811.187,1184.185,,7.507,14.982,30.026,65.034,124.837,248.206,482.438,868.611,1354.042,,,,,64.936,124.905,248.351,481.783,867.677,1356.509,,,,,64.958,124.881,249.635,491.758,901.882,1420.55,,,,30.014,64.941,124.999,249.488,491.938,902.353,1421.684
1563,,7.502,14.996,30.008,64.983,124.457,244.949,454.043,735.671,1017.192,,7.502,14.982,29.972,64.933,124.483,244.868,453.179,735.256,1018.415,3.694,7.37,14.756,29.372,62.897,118.672,226.145,403.294,664.902,878.464,3.695,7.365,14.736,29.333,62.943,118.687,226.3,403.356,664.426,878.358,3.754,7.508,15.013,29.993,64.95,124.961,247.474,472.171,812.14,1186.241,,7.509,15.017,29.987,65.013,124.941,247.576,472.156,812.613,1186.201,,7.502,15.013,30.006,65.01,124.739,248.476,482.381,867.879,1357.698,,,,,64.96,124.881,247.879,481.522,869.395,1357.181,,,,,65.083,124.854,249.786,491.987,902.819,1422.157,,,,29.981,65.038,124.932,249.715,492.01,901.7,1420.71
1564,,7.502,15.008,30.021,64.92,124.632,244.877,453.348,735.353,1017.281,,7.494,15.002,29.973,65.003,124.644,245.056,453.905,734.586,1017.358,3.694,7.377,14.746,29.323,62.922,118.618,226.34,403.426,665.758,877.641,3.693,7.378,14.728,29.358,62.961,118.484,225.895,403.05,665.121,879.51,3.747,7.496,14.986,30.002,65.051,124.708,247.509,472.729,813.027,1185.291,,7.508,14.997,29.993,64.954,124.728,247.616,472.469,813.282,1187.522,,7.493,15.006,30.024,64.901,124.67,248.048,481.604,868.883,1355.62,,,,,64.901,124.881,247.872,481.759,868.363,1355.834,,,,,64.931,124.996,249.587,492.031,901.376,1423.159,,,,29.981,64.936,124.896,249.595,491.704,901.271,1422.93
1565,,7.505,15.018,29.988,64.951,124.553,245.003,453.641,734.923,1017.61,,7.498,15.005,30.023,65.013,124.691,245.036,453.403,734.908,1019.51,3.692,7.374,14.741,29.337,62.977,118.502,225.81,403.184,666.395,878.521,3.69,7.373,14.731,29.331,62.893,118.744,226.144,403.352,665.696,878.705,3.746,7.497,14.992,30.008,64.967,124.865,247.718,472.386,811.578,1186.504,,7.494,15.008,29.972,64.935,124.869,247.813,472.377,812.089,1185.818,,7.501,15.007,29.992,65.024,124.783,248.039,482.153,868.549,1358.619,,,,,65.017,124.707,248.061,482.608,868.262,1358.351,,,,,65.048,125.052,249.97,492.303,902.643,1421.413,,,,29.975,65.061,124.891,249.799,491.42,902.131,1422.909
1566,,7.492,15.001,29.991,64.899,124.73,245.263,453.544,736.487,1018.035,,7.505,15.006,29.968,64.908,124.561,244.818,453.548,735.181,1018.75,3.691,7.376,14.734,29.382,62.967,118.573,226.151,403.499,666.505,878.532,3.692,7.368,14.754,29.367,62.949,118.751,226.235,403.439,665.708,879.839,3.748,7.497,15.007,29.973,65.043,124.826,247.914,472.311,813.828,1185.759,,7.498,14.981,30.005,64.902,124.731,247.492,473.278,813.423,1185.918,,7.496,14.991,30.01,64.908,124.712,248.352,482.017,868.952,1357.458,,,,,65.038,124.657,248.007,482.058,870.315,1356.283,,,,,64.958,124.973,249.779,491.852,902.809,1422.098,,,,30.036,64.976,124.87,249.495,492.064,902.878,1421.949
1567,,7.493,14.98,29.98,64.944,124.585,245.013,454.076,736.327,1018.687,,7.506,15.015,29.982,64.928,124.565,245.113,454.351,735.277,1019.487,3.689,7.375,14.752,29.378,62.908,118.605,225.984,403.657,666.415,880.179,3.692,7.37,14.762,29.34,62.985,118.734,226.423,403.11,666.612,880.908,3.755,7.509,15.015,29.968,65.066,124.933,247.925,472.544,812.176,1188.221,,7.506,15.01,29.961,64.969,124.855,247.721,473.13,813.67,1187.902,,7.496,14.982,29.994,64.888,124.741,248.323,482.098,869.587,1358.83,,,,,64.918,124.75,248.348,481.997,870.206,1356.958,,,,,65.015,124.879,249.585,492.377,902.419,1424.465,,,,29.997,64.951,125.085,249.788,491.955,902.905,1422.762
1568,,7.493,15.01,29.975,64.919,124.732,245.264,453.909,736.557,1020.035,,7.499,14.984,30.031,64.901,124.55,245.137,453.61,736.781,1020.534,3.694,7.365,14.757,29.32,62.909,118.721,226.421,403.987,665.986,879.907,3.689,7.375,14.729,29.333,62.987,118.532,226.371,403.833,666.909,880.037,3.747,7.501,14.984,30.024,64.944,124.867,247.443,473.47,814.135,1186.824,,7.494,15.016,30.021,64.958,124.987,247.481,472.683,813.447,1187.7,,7.496,14.99,30.029,64.966,124.691,248.193,482.589,870.384,1357.358,,,,,64.97,124.729,248.18,482.259,870.752,1357.088,,,,,65.015,125.016,249.835,491.349,903.268,1424.292,,,,29.969,64.928,124.97,249.652,492.482,902.429,1421.415
1569,,7.499,15.002,29.997,64.889,124.707,245.355,453.878,735.717,1021.549,,7.504,15.003,30.018,64.939,124.776,244.876,453.412,735.839,1021.592,3.69,7.374,14.76,29.346,62.935,118.569,226.492,403.585,665.781,880.405,3.692,7.381,14.759,29.395,62.882,118.706,226.495,403.677,665.958,881.144,3.749,7.503,15.005,29.981,65.024,124.91,247.442,473.007,813.565,1188.465,,7.5,15.008,29.989,64.914,124.827,247.382,472.895,812.769,1188.432,,7.502,15.017,30.003,64.97,124.85,248.417,481.84,869.465,1358.366,,,,,64.892,124.739,248.209,482.789,870.471,1358.257,,,,,65.021,125.078,249.872,491.562,903.525,1422.696,,,,30.012,64.997,124.84,249.46,492.059,903.834,1423.462
1570,,7.505,14.991,30.009,64.972,124.472,245.312,453.979,736.619,1022.187,,7.497,15.017,29.969,65.016,124.776,244.908,454.572,736.937,1020.953,3.691,7.373,14.763,29.393,62.92,118.771,226.14,404.187,666.886,881.699,3.69,7.371,14.736,29.328,62.937,118.762,226.177,403.693,666.726,882.139,3.747,7.507,14.999,30.018,64.947,124.828,247.88,473.405,813.434,1190.014,,7.49,15.011,29.992,65.041,124.73,247.735,473.163,814.09,1189.312,,7.505,15.009,30.021,64.912,124.928,248.218,482.499,870.711,1360.119,,,,,65.027,124.939,248.221,481.955,869.928,1357.529,,,,,64.963,125.14,249.451,491.678,904.261,1425.749,,,,30.024,64.952,124.843,249.978,492.224,903.35,1425.516
1571,,7.503,14.988,29.961,64.983,124.591,245.382,454.584,736.122,1022.358,,7.503,14.991,30.022,64.949,124.522,245.104,454.583,737.605,1020.219,3.694,7.381,14.741,29.326,62.989,118.68,226.478,404.348,666.404,882.281,3.692,7.366,14.764,29.329,62.894,118.825,226.183,403.903,666.628,882.249,3.747,7.493,15.011,29.987,64.907,124.774,247.344,472.786,813.1,1188.237,,7.494,14.995,29.964,64.98,124.732,247.868,473.431,814.796,1190.987,,7.493,14.994,30.004,65.037,124.951,248.288,482.138,869.558,1359.63,,,,,65.018,124.791,248.408,482.875,869.208,1360.694,,,,,64.994,124.932,249.521,492.222,904.191,1425.269,,,,30.014,64.985,125.068,249.825,492.298,904.239,1424.709
1572,,7.496,15.009,30.027,64.993,124.782,245.123,454.228,737.273,1021.894,,7.505,14.996,29.965,64.908,124.728,245.083,454.098,736.854,1022.879,3.693,7.376,14.762,29.392,62.947,118.737,226.632,404.033,666.761,882.932,3.691,7.374,14.756,29.348,62.985,118.62,226.106,404.546,667.45,881.649,3.753,7.495,14.992,29.995,64.909,124.944,247.642,473.376,813.773,1189.908,,7.506,15,29.977,64.977,124.752,247.886,473.687,813.152,1190.306,,7.504,14.986,29.976,64.912,124.946,248.358,481.907,870.641,1361.327,,,,,65.005,124.78,248.296,482.29,870.667,1360.318,,,,,64.974,125.007,249.857,491.844,904.471,1425.05,,,,29.976,64.993,124.944,249.443,491.783,902.793,1426.021
1573,,7.508,15.001,29.974,64.945,124.521,245.216,454.787,737.13,1023.588,,7.49,14.989,30.032,64.996,124.674,245.104,454.522,737.493,1022.602,3.691,7.37,14.733,29.363,63.035,118.749,226.467,403.901,667.493,881.753,3.69,7.378,14.754,29.376,62.906,118.594,226.416,404.31,667.182,883.396,3.746,7.506,14.982,30.013,64.981,124.824,247.562,472.849,814.283,1189.544,,7.497,15.007,29.982,65.02,124.916,247.779,473.453,813.816,1191.438,,7.493,14.992,30.001,64.956,124.889,248.363,482.653,869.634,1361.699,,,,,65.025,124.952,248.009,482.074,869.579,1361.533,,,,,65.042,125.008,250.039,492.449,903.227,1426.622,,,,29.98,64.937,124.839,249.852,491.886,902.659,1424.705
1574,,7.493,14.991,30.005,64.994,124.594,245.246,454.785,738.301,1021.875,,7.506,14.988,29.968,64.988,124.66,245.049,454.616,736.938,1023.543,3.69,7.37,14.763,29.388,62.984,118.739,226.371,404.205,666.918,882.018,3.691,7.369,14.741,29.344,62.941,118.775,226.215,404.601,667.21,882.546,3.749,7.492,15.003,29.974,64.95,124.892,247.908,473.591,814.346,1190.599,,7.509,14.989,29.983,65.055,124.874,247.626,473.342,815.176,1190.232,,7.507,14.994,29.979,64.935,124.829,248.042,482.976,870.496,1360.537,,,,,64.964,124.956,248.435,482.63,870.998,1362.765,,,,,65.057,125.124,249.697,491.536,904.391,1426.903,,,,30.036,65.066,124.986,249.65,492.403,903.934,1425.528
1575,,7.491,15.006,29.97,64.999,124.614,245.307,454.695,738.027,1023.576,,7.508,15.004,30.023,64.964,124.679,245.28,454.873,738.242,1022.657,3.691,7.367,14.76,29.339,62.932,118.782,226.461,404.018,668.474,882.753,3.689,7.384,14.736,29.375,62.905,118.776,226.436,403.876,667.448,883.247,3.754,7.505,15.009,29.961,64.938,124.762,247.507,472.852,815.52,1189.941,,7.498,14.987,29.996,64.944,124.81,247.541,473.789,814.691,1192.641,,7.5,14.996,29.966,64.946,124.709,248.15,482.422,871.908,1361.487,,,,,64.97,124.666,248.149,482.635,871.439,1363.077,,,,,65.038,124.992,249.628,492.407,903.205,1424.978,,,,29.98,64.986,124.867,249.46,492.135,902.738,1427.201
