"NovelEnzymes, Inc",,,,,,,,,,
Reference Data (Clean),,,,,,,,,,
Enzyme: PGO-X50,,,,,,,,,,
,,,,,,,,,,
Assay number (test),1,2,3,4,5,6,7,8,9,10
656,3.733,7.465,14.926,29.696,63.731,120.595,227.929,403.01,600.843,816.653
657,3.733,7.466,14.927,29.698,63.738,120.618,228.011,403.252,601.401,817.599
658,3.733,7.466,14.927,29.7,63.746,120.64,228.092,403.494,601.959,818.544
659,3.733,7.466,14.928,29.702,63.753,120.662,228.173,403.735,602.516,819.489
660,3.733,7.467,14.928,29.704,63.761,120.684,228.253,403.975,603.072,820.433
661,3.733,7.467,14.929,29.706,63.768,120.706,228.334,404.215,603.627,821.377
662,3.734,7.467,14.93,29.709,63.776,120.728,228.414,404.454,604.182,822.319
663,3.734,7.467,14.93,29.711,63.783,120.75,228.493,404.693,604.735,823.261
664,3.734,7.468,14.931,29.713,63.79,120.771,228.573,404.931,605.288,824.202
665,3.734,7.468,14.931,29.715,63.798,120.793,228.652,405.168,605.841,825.142
666,3.734,7.468,14.932,29.717,63.805,120.814,228.731,405.405,606.392,826.082
667,3.734,7.468,14.932,29.719,63.812,120.835,228.809,405.641,606.943,827.02
668,3.734,7.469,14.933,29.721,63.819,120.857,228.888,405.876,607.493,827.958
669,3.734,7.469,14.934,29.722,63.826,120.878,228.966,406.111,608.042,828.896
670,3.735,7.469,14.934,29.724,63.833,120.899,229.043,406.346,608.59,829.832
671,3.735,7.469,14.935,29.726,63.84,120.92,229.121,406.58,609.138,830.768
672,3.735,7.47,14.935,29.728,63.847,120.94,229.198,406.813,609.685,831.703
673,3.735,7.47,14.936,29.73,63.854,120.961,229.275,407.046,610.231,832.637
674,3.735,7.47,14.936,29.732,63.861,120.981,229.351,407.278,610.776,833.571
675,3.735,7.47,14.937,29.734,63.868,121.002,229.427,407.509,611.32,834.503
676,3.735,7.471,14.937,29.736,63.874,121.022,229.503,407.74,611.864,835.436
677,3.735,7.471,14.938,29.738,63.881,121.042,229.579,407.971,612.407,836.367
678,3.736,7.471,14.938,29.739,63.888,121.063,229.654,408.2,612.949,837.297
679,3.736,7.471,14.939,29.741,63.894,121.083,229.73,408.43,613.491,838.227
680,3.736,7.472,14.939,29.743,63.901,121.103,229.804,408.658,614.032,839.156
681,3.736,7.472,14.94,29.745,63.908,121.122,229.879,408.886,614.572,840.084
682,3.736,7.472,14.94,29.747,63.914,121.142,229.953,409.114,615.111,841.012
683,3.736,7.472,14.941,29.748,63.921,121.162,230.027,409.341,615.649,841.939
684,3.736,7.473,14.941,29.75,63.927,121.181,230.101,409.567,616.187,842.865
685,3.736,7.473,14.942,29.752,63.933,121.201,230.175,409.793,616.724,843.79
686,3.736,7.473,14.942,29.754,63.94,121.22,230.248,410.018,617.26,844.715
687,3.737,7.473,14.943,29.755,63.946,121.239,230.321,410.243,617.796,845.639
688,3.737,7.473,14.943,29.757,63.953,121.258,230.394,410.467,618.33,846.562
689,3.737,7.474,14.943,29.759,63.959,121.277,230.466,410.69,618.864,847.484
690,3.737,7.474,14.944,29.76,63.965,121.296,230.538,410.913,619.398,848.406
691,3.737,7.474,14.944,29.762,63.971,121.315,230.61,411.136,619.93,849.327
692,3.737,7.474,14.945,29.764,63.977,121.334,230.682,411.358,620.462,850.247
693,3.737,7.474,14.945,29.765,63.983,121.353,230.753,411.579,620.993,851.166
694,3.737,7.475,14.946,29.767,63.99,121.371,230.824,411.8,621.523,852.085
695,3.737,7.475,14.946,29.769,63.996,121.39,230.895,412.02,622.053,853.003
696,3.738,7.475,14.947,29.77,64.002,121.408,230.965,412.24,622.581,853.92
697,3.738,7.475,14.947,29.772,64.008,121.426,231.036,412.459,623.109,854.837
698,3.738,7.475,14.947,29.773,64.014,121.444,231.106,412.678,623.637,855.753
699,3.738,7.476,14.948,29.775,64.019,121.463,231.175,412.896,624.163,856.668
700,3.738,7.476,14.948,29.777,64.025,121.481,231.245,413.113,624.689,857.582
701,3.738,7.476,14.949,29.778,64.031,121.498,231.314,413.33,625.214,858.495
702,3.738,7.476,14.949,29.78,64.037,121.516,231.383,413.546,625.738,859.408
703,3.738,7.476,14.95,29.781,64.043,121.534,231.452,413.762,626.262,860.32
704,3.738,7.477,14.95,29.783,64.048,121.552,231.521,413.978,626.785,861.232
705,3.738,7.477,14.95,29.784,64.054,121.569,231.589,414.192,627.307,862.142
706,3.739,7.477,14.951,29.786,64.06,121.587,231.657,414.407,627.828,863.052
707,3.739,7.477,14.951,29.787,64.065,121.604,231.725,414.62,628.349,863.962
708,3.739,7.477,14.952,29.789,64.071,121.621,231.792,414.834,628.869,864.87
709,3.739,7.478,14.952,29.79,64.077,121.638,231.859,415.046,629.388,865.778
710,3.739,7.478,14.952,29.792,64.082,121.656,231.926,415.258,629.907,866.685
711,3.739,7.478,14.953,29.793,64.088,121.673,231.993,415.47,630.424,867.591
712,3.739,7.478,14.953,29.795,64.093,121.689,232.059,415.681,630.941,868.497
713,3.739,7.478,14.953,29.796,64.098,121.706,232.126,415.891,631.458,869.401
714,3.739,7.479,14.954,29.797,64.104,121.723,232.192,416.101,631.973,870.306
715,3.739,7.479,14.954,29.799,64.109,121.74,232.258,416.311,632.488,871.209
716,3.739,7.479,14.955,29.8,64.115,121.756,232.323,416.52,633.002,872.112
717,3.74,7.479,14.955,29.802,64.12,121.773,232.388,416.728,633.516,873.014
718,3.74,7.479,14.955,29.803,64.125,121.789,232.453,416.936,634.029,873.915
719,3.74,7.479,14.956,29.804,64.13,121.806,232.518,417.144,634.541,874.815
720,3.74,7.48,14.956,29.806,64.136,121.822,232.583,417.351,635.052,875.715
721,3.74,7.48,14.956,29.807,64.141,121.838,232.647,417.557,635.562,876.614
722,3.74,7.48,14.957,29.808,64.146,121.854,232.711,417.763,636.072,877.513
723,3.74,7.48,14.957,29.81,64.151,121.87,232.775,417.968,636.581,878.41
724,3.74,7.48,14.957,29.811,64.156,121.886,232.839,418.173,637.09,879.307
725,3.74,7.48,14.958,29.812,64.161,121.902,232.902,418.377,637.598,880.203
726,3.74,7.481,14.958,29.814,64.166,121.918,232.965,418.581,638.105,881.099
727,3.74,7.481,14.958,29.815,64.171,121.933,233.028,418.784,638.611,881.994
728,3.74,7.481,14.959,29.816,64.176,121.949,233.091,418.987,639.116,882.888
729,3.74,7.481,14.959,29.818,64.181,121.964,233.153,419.189,639.621,883.781
730,3.741,7.481,14.959,29.819,64.186,121.98,233.215,419.391,640.126,884.674
731,3.741,7.481,14.96,29.82,64.191,121.995,233.277,419.592,640.629,885.565
732,3.741,7.481,14.96,29.821,64.196,122.01,233.339,419.793,641.132,886.457
733,3.741,7.482,14.96,29.823,64.2,122.026,233.401,419.993,641.634,887.347
734,3.741,7.482,14.961,29.824,64.205,122.041,233.462,420.193,642.135,888.237
735,3.741,7.482,14.961,29.825,64.21,122.056,233.523,420.393,642.636,889.126
736,3.741,7.482,14.961,29.826,64.215,122.071,233.584,420.591,643.136,890.014
737,3.741,7.482,14.962,29.828,64.219,122.086,233.645,420.79,643.635,890.902
738,3.741,7.482,14.962,29.829,64.224,122.101,233.705,420.987,644.134,891.789
739,3.741,7.482,14.962,29.83,64.229,122.115,233.765,421.185,644.632,892.675
740,3.741,7.483,14.963,29.831,64.233,122.13,233.825,421.381,645.129,893.561
741,3.741,7.483,14.963,29.832,64.238,122.145,233.885,421.578,645.625,894.445
742,3.741,7.483,14.963,29.834,64.242,122.159,233.944,421.774,646.121,895.329
743,3.742,7.483,14.963,29.835,64.247,122.174,234.004,421.969,646.616,896.213
744,3.742,7.483,14.964,29.836,64.251,122.188,234.063,422.164,647.11,897.095
745,3.742,7.483,14.964,29.837,64.256,122.202,234.122,422.358,647.604,897.977
746,3.742,7.483,14.964,29.838,64.26,122.216,234.18,422.552,648.097,898.859
747,3.742,7.484,14.965,29.839,64.265,122.231,234.239,422.745,648.589,899.739
748,3.742,7.484,14.965,29.84,64.269,122.245,234.297,422.938,649.081,900.619
749,3.742,7.484,14.965,29.841,64.274,122.259,234.355,423.131,649.572,901.498
750,3.742,7.484,14.966,29.843,64.278,122.273,234.413,423.323,650.062,902.377
751,3.742,7.484,14.966,29.844,64.282,122.287,234.47,423.514,650.552,903.254
752,3.742,7.484,14.966,29.845,64.287,122.3,234.528,423.705,651.041,904.132
753,3.742,7.484,14.966,29.846,64.291,122.314,234.585,423.895,651.529,905.008
754,3.742,7.485,14.967,29.847,64.295,122.328,234.642,424.085,652.016,905.884
755,3.742,7.485,14.967,29.848,64.299,122.341,234.698,424.275,652.503,906.758
756,3.742,7.485,14.967,29.849,64.303,122.355,234.755,424.464,652.989,907.633
757,3.742,7.485,14.967,29.85,64.308,122.368,234.811,424.653,653.475,908.506
758,3.743,7.485,14.968,29.851,64.312,122.382,234.867,424.841,653.96,909.379
759,3.743,7.485,14.968,29.852,64.316,122.395,234.923,425.028,654.444,910.251
760,3.743,7.485,14.968,29.853,64.32,122.408,234.979,425.216,654.927,911.123
761,3.743,7.485,14.968,29.854,64.324,122.421,235.034,425.402,655.41,911.993
762,3.743,7.485,14.969,29.855,64.328,122.435,235.09,425.589,655.892,912.863
763,3.743,7.486,14.969,29.856,64.332,122.448,235.145,425.774,656.374,913.733
764,3.743,7.486,14.969,29.857,64.336,122.461,235.2,425.96,656.854,914.602
765,3.743,7.486,14.969,29.858,64.34,122.474,235.254,426.145,657.334,915.469
766,3.743,7.486,14.97,29.859,64.344,122.486,235.309,426.329,657.814,916.337
767,3.743,7.486,14.97,29.86,64.348,122.499,235.363,426.513,658.292,917.203
768,3.743,7.486,14.97,29.861,64.352,122.512,235.417,426.697,658.77,918.069
769,3.743,7.486,14.97,29.862,64.356,122.525,235.471,426.88,659.248,918.934
770,3.743,7.486,14.971,29.863,64.36,122.537,235.524,427.062,659.725,919.799
771,3.743,7.487,14.971,29.864,64.363,122.55,235.578,427.244,660.201,920.663
772,3.743,7.487,14.971,29.865,64.367,122.562,235.631,427.426,660.676,921.526
773,3.743,7.487,14.971,29.866,64.371,122.575,235.684,427.607,661.151,922.388
774,3.743,7.487,14.972,29.867,64.375,122.587,235.737,427.788,661.625,923.25
775,3.743,7.487,14.972,29.868,64.378,122.599,235.79,427.968,662.098,924.111
776,3.744,7.487,14.972,29.869,64.382,122.611,235.842,428.148,662.571,924.971
777,3.744,7.487,14.972,29.87,64.386,122.624,235.895,428.327,663.043,925.831
778,3.744,7.487,14.973,29.871,64.39,122.636,235.947,428.506,663.514,926.69
779,3.744,7.487,14.973,29.871,64.393,122.648,235.999,428.685,663.985,927.548
780,3.744,7.487,14.973,29.872,64.397,122.66,236.05,428.863,664.455,928.406
781,3.744,7.488,14.973,29.873,64.4,122.672,236.102,429.041,664.925,929.263
782,3.744,7.488,14.973,29.874,64.404,122.683,236.153,429.218,665.393,930.119
783,3.744,7.488,14.974,29.875,64.408,122.695,236.204,429.394,665.862,930.975
784,3.744,7.488,14.974,29.876,64.411,122.707,236.255,429.571,666.329,931.83
785,3.744,7.488,14.974,29.877,64.415,122.719,236.306,429.747,666.796,932.684
786,3.744,7.488,14.974,29.878,64.418,122.73,236.357,429.922,667.262,933.537
787,3.744,7.488,14.974,29.878,64.422,122.742,236.407,430.097,667.728,934.39
788,3.744,7.488,14.975,29.879,64.425,122.753,236.457,430.272,668.192,935.242
789,3.744,7.488,14.975,29.88,64.429,122.765,236.507,430.446,668.657,936.094
790,3.744,7.488,14.975,29.881,64.432,122.776,236.557,430.619,669.12,936.945
791,3.744,7.489,14.975,29.882,64.435,122.787,236.607,430.793,669.583,937.795
792,3.744,7.489,14.975,29.883,64.439,122.799,236.656,430.965,670.045,938.644
793,3.744,7.489,14.976,29.883,64.442,122.81,236.705,431.138,670.507,939.493
794,3.744,7.489,14.976,29.884,64.445,122.821,236.754,431.31,670.968,940.341
795,3.744,7.489,14.976,29.885,64.449,122.832,236.803,431.481,671.428,941.188
796,3.745,7.489,14.976,29.886,64.452,122.843,236.852,431.652,671.888,942.035
797,3.745,7.489,14.976,29.887,64.455,122.854,236.901,431.823,672.347,942.881
798,3.745,7.489,14.977,29.888,64.459,122.865,236.949,431.993,672.805,943.726
799,3.745,7.489,14.977,29.888,64.462,122.876,236.997,432.163,673.263,944.571
800,3.745,7.489,14.977,29.889,64.465,122.887,237.045,432.332,673.72,945.415
801,3.745,7.489,14.977,29.89,64.468,122.897,237.093,432.501,674.177,946.258
802,3.745,7.49,14.977,29.891,64.471,122.908,237.141,432.67,674.633,947.101
803,3.745,7.49,14.978,29.891,64.475,122.919,237.188,432.838,675.088,947.943
804,3.745,7.49,14.978,29.892,64.478,122.929,237.236,433.006,675.542,948.784
805,3.745,7.49,14.978,29.893,64.481,122.94,237.283,433.173,675.996,949.625
806,3.745,7.49,14.978,29.894,64.484,122.95,237.33,433.34,676.449,950.465
807,3.745,7.49,14.978,29.894,64.487,122.961,237.376,433.506,676.902,951.304
808,3.745,7.49,14.978,29.895,64.49,122.971,237.423,433.672,677.354,952.143
809,3.745,7.49,14.979,29.896,64.493,122.981,237.47,433.838,677.806,952.981
810,3.745,7.49,14.979,29.897,64.496,122.992,237.516,434.003,678.256,953.818
811,3.745,7.49,14.979,29.897,64.499,123.002,237.562,434.168,678.706,954.655
812,3.745,7.49,14.979,29.898,64.502,123.012,237.608,434.332,679.156,955.491
813,3.745,7.49,14.979,29.899,64.505,123.022,237.654,434.496,679.605,956.326
814,3.745,7.491,14.979,29.899,64.508,123.032,237.699,434.66,680.053,957.161
815,3.745,7.491,14.98,29.9,64.511,123.042,237.745,434.823,680.501,957.995
816,3.745,7.491,14.98,29.901,64.514,123.052,237.79,434.986,680.948,958.828
817,3.745,7.491,14.98,29.902,64.517,123.062,237.835,435.148,681.394,959.66
818,3.745,7.491,14.98,29.902,64.52,123.072,237.88,435.31,681.84,960.492
819,3.745,7.491,14.98,29.903,64.523,123.082,237.925,435.471,682.285,961.324
820,3.745,7.491,14.98,29.904,64.526,123.092,237.969,435.633,682.729,962.154
821,3.746,7.491,14.981,29.904,64.528,123.101,238.014,435.793,683.173,962.984
822,3.746,7.491,14.981,29.905,64.531,123.111,238.058,435.954,683.616,963.813
823,3.746,7.491,14.981,29.906,64.534,123.12,238.102,436.113,684.059,964.642
824,3.746,7.491,14.981,29.906,64.537,123.13,238.146,436.273,684.501,965.47
825,3.746,7.491,14.981,29.907,64.54,123.14,238.19,436.432,684.942,966.297
826,3.746,7.491,14.981,29.908,64.542,123.149,238.233,436.591,685.383,967.124
827,3.746,7.491,14.982,29.908,64.545,123.158,238.277,436.749,685.823,967.95
828,3.746,7.492,14.982,29.909,64.548,123.168,238.32,436.907,686.263,968.775
829,3.746,7.492,14.982,29.909,64.55,123.177,238.363,437.065,686.702,969.6
830,3.746,7.492,14.982,29.91,64.553,123.186,238.406,437.222,687.14,970.424
831,3.746,7.492,14.982,29.911,64.556,123.196,238.449,437.379,687.578,971.247
832,3.746,7.492,14.982,29.911,64.559,123.205,238.492,437.535,688.015,972.07
833,3.746,7.492,14.982,29.912,64.561,123.214,238.534,437.691,688.451,972.892
834,3.746,7.492,14.983,29.913,64.564,123.223,238.577,437.846,688.887,973.713
835,3.746,7.492,14.983,29.913,64.566,123.232,238.619,438.002,689.323,974.534
836,3.746,7.492,14.983,29.914,64.569,123.241,238.661,438.156,689.757,975.354
837,3.746,7.492,14.983,29.914,64.572,123.25,238.703,438.311,690.191,976.173
838,3.746,7.492,14.983,29.915,64.574,123.259,238.744,438.465,690.625,976.992
839,3.746,7.492,14.983,29.916,64.577,123.268,238.786,438.619,691.057,977.81
840,3.746,7.492,14.983,29.916,64.579,123.277,238.827,438.772,691.49,978.628
841,3.746,7.492,14.983,29.917,64.582,123.285,238.869,438.925,691.921,979.444
842,3.746,7.492,14.984,29.917,64.584,123.294,238.91,439.077,692.352,980.261
843,3.746,7.493,14.984,29.918,64.587,123.303,238.951,439.229,692.783,981.076
844,3.746,7.493,14.984,29.918,64.589,123.311,238.992,439.381,693.213,981.891
845,3.746,7.493,14.984,29.919,64.592,123.32,239.032,439.532,693.642,982.705
846,3.746,7.493,14.984,29.92,64.594,123.329,239.073,439.683,694.07,983.518
847,3.746,7.493,14.984,29.92,64.597,123.337,239.113,439.834,694.498,984.331
848,3.746,7.493,14.984,29.921,64.599,123.345,239.153,439.984,694.926,985.144
849,3.746,7.493,14.985,29.921,64.601,123.354,239.193,440.134,695.353,985.955
850,3.746,7.493,14.985,29.922,64.604,123.362,239.233,440.284,695.779,986.766
851,3.747,7.493,14.985,29.922,64.606,123.371,239.273,440.433,696.204,987.576
852,3.747,7.493,14.985,29.923,64.608,123.379,239.313,440.581,696.629,988.386
853,3.747,7.493,14.985,29.923,64.611,123.387,239.352,440.73,697.054,989.195
854,3.747,7.493,14.985,29.924,64.613,123.395,239.391,440.878,697.478,990.003
855,3.747,7.493,14.985,29.925,64.615,123.403,239.431,441.025,697.901,990.811
856,3.747,7.493,14.985,29.925,64.618,123.412,239.47,441.173,698.323,991.618
857,3.747,7.493,14.986,29.926,64.62,123.42,239.509,441.319,698.746,992.424
858,3.747,7.493,14.986,29.926,64.622,123.428,239.547,441.466,699.167,993.23
859,3.747,7.493,14.986,29.927,64.625,123.436,239.586,441.612,699.588,994.035
860,3.747,7.494,14.986,29.927,64.627,123.444,239.624,441.758,700.008,994.84
861,3.747,7.494,14.986,29.928,64.629,123.452,239.663,441.903,700.428,995.643
862,3.747,7.494,14.986,29.928,64.631,123.459,239.701,442.048,700.847,996.447
863,3.747,7.494,14.986,29.929,64.633,123.467,239.739,442.193,701.265,997.249
864,3.747,7.494,14.986,29.929,64.636,123.475,239.777,442.337,701.683,998.051
865,3.747,7.494,14.986,29.93,64.638,123.483,239.815,442.481,702.101,998.852
866,3.747,7.494,14.987,29.93,64.64,123.491,239.852,442.625,702.518,999.653
867,3.747,7.494,14.987,29.931,64.642,123.498,239.89,442.768,702.934,1000.453
868,3.747,7.494,14.987,29.931,64.644,123.506,239.927,442.911,703.349,1001.252
869,3.747,7.494,14.987,29.932,64.646,123.514,239.964,443.054,703.764,1002.051
870,3.747,7.494,14.987,29.932,64.649,123.521,240.001,443.196,704.179,1002.849
871,3.747,7.494,14.987,29.933,64.651,123.529,240.038,443.338,704.593,1003.646
872,3.747,7.494,14.987,29.933,64.653,123.536,240.075,443.479,705.006,1004.443
873,3.747,7.494,14.987,29.933,64.655,123.544,240.112,443.62,705.419,1005.239
874,3.747,7.494,14.987,29.934,64.657,123.551,240.148,443.761,705.831,1006.035
875,3.747,7.494,14.987,29.934,64.659,123.558,240.185,443.902,706.242,1006.829
876,3.747,7.494,14.988,29.935,64.661,123.566,240.221,444.042,706.653,1007.624
877,3.747,7.494,14.988,29.935,64.663,123.573,240.257,444.181,707.064,1008.417
878,3.747,7.494,14.988,29.936,64.665,123.58,240.293,444.321,707.473,1009.21
879,3.747,7.494,14.988,29.936,64.667,123.587,240.329,444.46,707.883,1010.002
880,3.747,7.494,14.988,29.937,64.669,123.595,240.364,444.598,708.291,1010.794
881,3.747,7.495,14.988,29.937,64.671,123.602,240.4,444.737,708.7,1011.585
882,3.747,7.495,14.988,29.938,64.673,123.609,240.435,444.875,709.107,1012.376
883,3.747,7.495,14.988,29.938,64.675,123.616,240.471,445.012,709.514,1013.165
884,3.747,7.495,14.988,29.938,64.677,123.623,240.506,445.15,709.92,1013.955
885,3.747,7.495,14.988,29.939,64.679,123.63,240.541,445.287,710.326,1014.743
886,3.747,7.495,14.989,29.939,64.681,123.637,240.576,445.423,710.732,1015.531
887,3.747,7.495,14.989,29.94,64.683,123.644,240.611,445.56,711.136,1016.318
888,3.747,7.495,14.989,29.94,64.685,123.651,240.645,445.695,711.54,1017.105
889,3.747,7.495,14.989,29.941,64.686,123.658,240.68,445.831,711.944,1017.891
890,3.747,7.495,14.989,29.941,64.688,123.664,240.714,445.966,712.347,1018.676
891,3.747,7.495,14.989,29.941,64.69,123.671,240.749,446.101,712.749,1019.461
892,3.748,7.495,14.989,29.942,64.692,123.678,240.783,446.236,713.151,1020.245
893,3.748,7.495,14.989,29.942,64.694,123.685,240.817,446.37,713.552,1021.029
894,3.748,7.495,14.989,29.943,64.696,123.691,240.851,446.504,713.953,1021.811
895,3.748,7.495,14.989,29.943,64.697,123.698,240.885,446.638,714.353,1022.594
896,3.748,7.495,14.989,29.943,64.699,123.705,240.918,446.771,714.753,1023.375
897,3.748,7.495,14.99,29.944,64.701,123.711,240.952,446.904,715.152,1024.156
898,3.748,7.495,14.99,29.944,64.703,123.718,240.985,447.036,715.551,1024.937
899,3.748,7.495,14.99,29.945,64.705,123.724,241.019,447.168,715.949,1025.716
900,3.748,7.495,14.99,29.945,64.706,123.731,241.052,447.3,716.346,1026.495
901,3.748,7.495,14.99,29.945,64.708,123.737,241.085,447.432,716.743,1027.274
902,3.748,7.495,14.99,29.946,64.71,123.744,241.118,447.563,717.139,1028.052
903,3.748,7.495,14.99,29.946,64.712,123.75,241.151,447.694,717.535,1028.829
904,3.748,7.495,14.99,29.946,64.713,123.757,241.183,447.825,717.93,1029.606
905,3.748,7.496,14.99,29.947,64.715,123.763,241.216,447.955,718.325,1030.382
906,3.748,7.496,14.99,29.947,64.717,123.769,241.248,448.085,718.719,1031.157
907,3.748,7.496,14.99,29.948,64.718,123.775,241.281,448.215,719.112,1031.932
908,3.748,7.496,14.99,29.948,64.72,123.782,241.313,448.344,719.505,1032.706
909,3.748,7.496,14.99,29.948,64.722,123.788,241.345,448.473,719.898,1033.48
910,3.748,7.496,14.991,29.949,64.724,123.794,241.377,448.602,720.289,1034.252
911,3.748,7.496,14.991,29.949,64.725,123.8,241.409,448.73,720.681,1035.025
912,3.748,7.496,14.991,29.949,64.727,123.806,241.44,448.858,721.072,1035.796
913,3.748,7.496,14.991,29.95,64.728,123.812,241.472,448.986,721.462,1036.567
914,3.748,7.496,14.991,29.95,64.73,123.818,241.503,449.113,721.851,1037.338
915,3.748,7.496,14.991,29.95,64.732,123.824,241.535,449.24,722.241,1038.108
916,3.748,7.496,14.991,29.951,64.733,123.83,241.566,449.367,722.629,1038.877
917,3.748,7.496,14.991,29.951,64.735,123.836,241.597,449.493,723.017,1039.646
918,3.748,7.496,14.991,29.951,64.736,123.842,241.628,449.619,723.405,1040.414
919,3.748,7.496,14.991,29.952,64.738,123.848,241.659,449.745,723.792,1041.181
920,3.748,7.496,14.991,29.952,64.74,123.854,241.69,449.871,724.178,1041.948
921,3.748,7.496,14.991,29.952,64.741,123.86,241.721,449.996,724.564,1042.714
922,3.748,7.496,14.991,29.953,64.743,123.866,241.751,450.121,724.949,1043.479
923,3.748,7.496,14.992,29.953,64.744,123.871,241.782,450.245,725.334,1044.244
924,3.748,7.496,14.992,29.953,64.746,123.877,241.812,450.369,725.718,1045.008
925,3.748,7.496,14.992,29.954,64.747,123.883,241.842,450.493,726.102,1045.772
926,3.748,7.496,14.992,29.954,64.749,123.888,241.872,450.617,726.485,1046.535
927,3.748,7.496,14.992,29.954,64.75,123.894,241.902,450.74,726.868,1047.298
928,3.748,7.496,14.992,29.955,64.752,123.9,241.932,450.863,727.25,1048.06
929,3.748,7.496,14.992,29.955,64.753,123.905,241.962,450.986,727.632,1048.821
930,3.748,7.496,14.992,29.955,64.755,123.911,241.992,451.108,728.013,1049.581
931,3.748,7.496,14.992,29.956,64.756,123.916,242.021,451.23,728.393,1050.341
932,3.748,7.496,14.992,29.956,64.758,123.922,242.051,451.352,728.773,1051.101
933,3.748,7.496,14.992,29.956,64.759,123.927,242.08,451.474,729.153,1051.86
934,3.748,7.496,14.992,29.957,64.761,123.933,242.109,451.595,729.532,1052.618
935,3.748,7.496,14.992,29.957,64.762,123.938,242.139,451.716,729.91,1053.376
936,3.748,7.497,14.992,29.957,64.763,123.944,242.168,451.836,730.288,1054.133
937,3.748,7.497,14.992,29.957,64.765,123.949,242.197,451.956,730.665,1054.889
938,3.748,7.497,14.992,29.958,64.766,123.954,242.225,452.076,731.042,1055.645
939,3.748,7.497,14.993,29.958,64.768,123.96,242.254,452.196,731.418,1056.4
940,3.748,7.497,14.993,29.958,64.769,123.965,242.283,452.315,731.794,1057.154
941,3.748,7.497,14.993,29.959,64.77,123.97,242.311,452.434,732.169,1057.908
942,3.748,7.497,14.993,29.959,64.772,123.976,242.34,452.553,732.544,1058.662
943,3.748,7.497,14.993,29.959,64.773,123.981,242.368,452.672,732.918,1059.415
944,3.748,7.497,14.993,29.96,64.775,123.986,242.396,452.79,733.292,1060.167
945,3.748,7.497,14.993,29.96,64.776,123.991,242.424,452.908,733.665,1060.918
946,3.748,7.497,14.993,29.96,64.777,123.996,242.452,453.025,734.038,1061.669
947,3.748,7.497,14.993,29.96,64.779,124.001,242.48,453.143,734.41,1062.42
948,3.748,7.497,14.993,29.961,64.78,124.006,242.508,453.26,734.781,1063.169
949,3.748,7.497,14.993,29.961,64.781,124.012,242.535,453.376,735.152,1063.919
950,3.748,7.497,14.993,29.961,64.783,124.017,242.563,453.493,735.523,1064.667
951,3.748,7.497,14.993,29.961,64.784,124.022,242.591,453.609,735.893,1065.415
952,3.748,7.497,14.993,29.962,64.785,124.027,242.618,453.725,736.262,1066.162
953,3.748,7.497,14.993,29.962,64.786,124.031,242.645,453.84,736.631,1066.909
954,3.748,7.497,14.993,29.962,64.788,124.036,242.672,453.956,737,1067.655
955,3.749,7.497,14.993,29.963,64.789,124.041,242.699,454.07,737.368,1068.401
956,3.749,7.497,14.993,29.963,64.79,124.046,242.726,454.185,737.735,1069.146
957,3.749,7.497,14.994,29.963,64.791,124.051,242.753,454.3,738.102,1069.89
958,3.749,7.497,14.994,29.963,64.793,124.056,242.78,454.414,738.468,1070.634
959,3.749,7.497,14.994,29.964,64.794,124.061,242.807,454.527,738.834,1071.377
960,3.749,7.497,14.994,29.964,64.795,124.065,242.833,454.641,739.2,1072.12
961,3.749,7.497,14.994,29.964,64.796,124.07,242.86,454.754,739.564,1072.862
962,3.749,7.497,14.994,29.964,64.798,124.075,242.886,454.867,739.929,1073.603
963,3.749,7.497,14.994,29.965,64.799,124.08,242.912,454.98,740.293,1074.344
964,3.749,7.497,14.994,29.965,64.8,124.084,242.938,455.092,740.656,1075.084
965,3.749,7.497,14.994,29.965,64.801,124.089,242.965,455.204,741.019,1075.824
966,3.749,7.497,14.994,29.965,64.802,124.094,242.991,455.316,741.381,1076.563
967,3.749,7.497,14.994,29.966,64.804,124.098,243.016,455.428,741.743,1077.302
968,3.749,7.497,14.994,29.966,64.805,124.103,243.042,455.539,742.104,1078.039
969,3.749,7.497,14.994,29.966,64.806,124.107,243.068,455.65,742.465,1078.777
970,3.749,7.497,14.994,29.966,64.807,124.112,243.094,455.761,742.825,1079.513
971,3.749,7.497,14.994,29.966,64.808,124.116,243.119,455.871,743.185,1080.249
972,3.749,7.497,14.994,29.967,64.809,124.121,243.144,455.982,743.544,1080.985
973,3.749,7.497,14.994,29.967,64.811,124.125,243.17,456.091,743.903,1081.72
974,3.749,7.497,14.994,29.967,64.812,124.13,243.195,456.201,744.262,1082.454
975,3.749,7.497,14.994,29.967,64.813,124.134,243.22,456.31,744.619,1083.188
976,3.749,7.497,14.994,29.968,64.814,124.139,243.245,456.42,744.977,1083.921
977,3.749,7.498,14.995,29.968,64.815,124.143,243.27,456.528,745.333,1084.654
978,3.749,7.498,14.995,29.968,64.816,124.147,243.295,456.637,745.69,1085.386
979,3.749,7.498,14.995,29.968,64.817,124.152,243.32,456.745,746.045,1086.117
980,3.749,7.498,14.995,29.969,64.818,124.156,243.344,456.853,746.401,1086.848
981,3.749,7.498,14.995,29.969,64.819,124.16,243.369,456.961,746.756,1087.578
982,3.749,7.498,14.995,29.969,64.821,124.165,243.393,457.068,747.11,1088.308
983,3.749,7.498,14.995,29.969,64.822,124.169,243.418,457.176,747.464,1089.037
